variable,lower_q,upper_q,threshold_months,apply_months,february_policy,lower_bound,upper_bound,n_obs_total,n_obs_threshold_months,n_obs_apply_months,n_lower_clipped,n_upper_clipped,n_total_clipped
制造业PMI,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,47.99,52.103,120,100,100,1,1,2
制造业PMI一阶差分,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-1.2150000000000027,1.2999999999999972,120,100,100,1,0,1
服务业PMI,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,45.043,55.71200000000001,120,100,100,1,1,2
服务业PMI一阶差分,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-5.716000000000003,4.4280000000000195,120,100,100,1,1,2
工业增加值,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,2.1910000000000003,9.206000000000003,120,100,100,1,1,2
用电量,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-2.2037,14.963100000000011,114,100,100,1,1,2
社零,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-5.916,14.457750000000015,112,100,100,1,1,2
固投累计同比,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-6.41425,17.62300000000001,112,100,100,1,1,2
固投当月同比,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-67.29142928510622,49.76987851056899,112,100,100,1,1,2
CPI,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-0.5,4.5,120,100,100,0,0,0
PPI,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-5.922923,12.906000000000004,120,100,100,1,1,2
失业率差分,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-0.241,0.2999999999999998,71,60,60,1,0,1
逆回购7天(19日),0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,1.8,4.1,120,100,100,0,0,0
银行间7天回购(20-19均值),0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,1.5606217290322582,3.7321852016129085,120,100,100,1,1,2
