month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分,逆回购7天(19日),银行间7天回购(20-19均值)
1980-01,,,,,,,,,,,,
1980-02,,,,,,,,,,,,
1980-03,,,,,,,,,,,,
1980-04,,,,,,,,,,,,
1980-05,,,,,,,,,,,,
1980-06,,,,,,,,,,,,
1980-07,,,,,,,,,,,,
1980-08,,,,,,,,,,,,
1980-09,,,,,,,,,,,,
1980-10,,,,,,,,,,,,
1980-11,,,,,,,,,,,,
1980-12,,,,,,,,,,,,
1981-01,,,,,,,,,,,,
1981-02,,,,,,,,,,,,
1981-03,,,,,,,,,,,,
1981-04,,,,,,,,,,,,
1981-05,,,,,,,,,,,,
1981-06,,,,,,,,,,,,
1981-07,,,,,,,,,,,,
1981-08,,,,,,,,,,,,
1981-09,,,,,,,,,,,,
1981-10,,,,,,,,,,,,
1981-11,,,,,,,,,,,,
1981-12,,,,,,,,,,,,
1982-01,,,,,,,,,,,,
1982-02,,,,,,,,,,,,
1982-03,,,,,,,,,,,,
1982-04,,,,,,,,,,,,
1982-05,,,,,,,,,,,,
1982-06,,,,,,,,,,,,
1982-07,,,,,,,,,,,,
1982-08,,,,,,,,,,,,
1982-09,,,,,,,,,,,,
1982-10,,,,,,,,,,,,
1982-11,,,,,,,,,,,,
1982-12,,,,,,,,,,,,
1983-01,,,,,,,,,,,,
1983-02,,,,,,,,,,,,
1983-03,,,,,,,,,,,,
1983-04,,,,,,,,,,,,
1983-05,,,,,,,,,,,,
1983-06,,,,,,,,,,,,
1983-07,,,,,,,,,,,,
1983-08,,,,,,,,,,,,
1983-09,,,,,,,,,,,,
1983-10,,,,,,,,,,,,
1983-11,,,,,,,,,,,,
1983-12,,,,,,,,,,,,
1984-01,,,,,,,,,,,,
1984-02,,,,,,,,,,,,
1984-03,,,,,,,,,,,,
1984-04,,,,,,,,,,,,
1984-05,,,,,,,,,,,,
1984-06,,,,,,,,,,,,
1984-07,,,,,,,,,,,,
1984-08,,,,,,,,,,,,
1984-09,,,,,,,,,,,,
1984-10,,,,,,,,,,,,
1984-11,,,,,,,,,,,,
1984-12,,,,,,,,,,,,
1985-01,,,,,,,,,,,,
1985-02,,,,,,,,,,,,
1985-03,,,,,,,,,,,,
1985-04,,,,,,,,,,,,
1985-05,,,,,,,,,,,,
1985-06,,,,,,,,,,,,
1985-07,,,,,,,,,,,,
1985-08,,,,,,,,,,,,
1985-09,,,,,,,,,,,,
1985-10,,,,,,,,,,,,
1985-11,,,,,,,,,,,,
1985-12,,,,,,,,,,,,
1986-01,,,,,,,,,,,,
1986-02,,,,,,,,,,,,
1986-03,,,,,,,,,,,,
1986-04,,,,,,,,,,,,
1986-05,,,,,,,,,,,,
1986-06,,,,,,,,,,,,
1986-07,,,,,,,,,,,,
1986-08,,,,,,,,,,,,
1986-09,,,,,,,,,,,,
1986-10,,,,,,,,,,,,
1986-11,,,,,,,,,,,,
1986-12,,,,,,,,,,,,
1987-01,,,,,,,,5.1,,,,
1987-02,,,,,,,,5.4,,,,
1987-03,,,,,,,,5.8,,,,
1987-04,,,,,,,,6.7,,,,
1987-05,,,,,,,,7.6,,,,
1987-06,,,,,,,,7.8,,,,
1987-07,,,,,,,,7.8,,,,
1987-08,,,,,,,,8.2,,,,
1987-09,,,,,,,,7.7,,,,
1987-10,,,,,,,,7.5,,,,
1987-11,,,,,,,,8.3,,,,
1987-12,,,,,,,,8.9,,,,
1988-01,,,,,,,,9.4,,,,
1988-02,,,,,,,,10.4,,,,
1988-03,,,,,,,,11.3,,,,
1988-04,,,,,,,,12.2,,,,
1988-05,,,,,,,,14.2,,,,
1988-06,,,,,,,,16.3,,,,
1988-07,,,,,,,,19.2,,,,
1988-08,,,,,,,,23.6,,,,
1988-09,,,,,,,,26.4,,,,
1988-10,,,,,,,,27.1,,,,
1988-11,,,,,,,,26.8,,,,
1988-12,,,,,,,,27.9,,,,
1989-01,,,,,,,,27.4,,,,
1989-02,,,,,,,,28.4,,,,
1989-03,,,,,,,,27.1,,,,
1989-04,,,,,,,,26.6,,,,
1989-05,,,,,,,,24.8,,,,
1989-06,,,,,,,,22.8,,,,
1989-07,,,,,,,,19.4,,,,
1989-08,,,,,,,,15.3,,,,
1989-09,,,,,,,,11.5,,,,
1989-10,,,,,,,,8.6,,,,
1989-11,,,,,,,,7.4,,,,
1989-12,,,,,,,,6.6,,,,
1990-01,,,,-21.1,,,,4.3,,,,
1990-02,,,,5.0,,,,4.4,,,,
1990-03,,,,0.8,,,,3.4,,,,
1990-04,,,,1.7,,,,3.2,,,,
1990-05,,,,3.3,,,,2.7,,,,
1990-06,,,,5.0,,,,1.1,,,,
1990-07,,,,2.5,,,,1.1,,,,
1990-08,,,,4.2,,,,2.5,,,,
1990-09,,,,6.7,,,,2.9,,,,
1990-10,,,,10.9,,,,3.1,,,,
1990-11,,,,12.6,,,,3.7,,,,
1990-12,,,,12.6,,,,4.3,,,,
1991-01,,,,23.5,,,,2.2,,,,
1991-02,,,,9.2,,,,1.0,,,,
1991-03,,,,10.9,,,,1.6,,,,
1991-04,,,,10.9,,,,1.3,,,,
1991-05,,,,10.9,,,,3.6,,,,
1991-06,,,,9.2,,,,4.4,,,,
1991-07,,,,10.9,,,,4.7,,,,
1991-08,,,,11.8,,,,4.9,,,,
1991-09,,,,12.6,,,,4.5,,,,
1991-10,,,,11.8,,,,4.8,,,,
1991-11,,,,7.6,,,,4.4,,,,
1991-12,,,,5.0,,,,4.5,,,,
1992-01,,,,10.9,,,,5.5,,,,
1992-02,,,,18.5,,0.0,,5.3,,,,
1992-03,13.6,,,16.8,,0.0,,5.3,,,,
1992-04,,,,15.1,,0.0,,7.1,,,,
1992-05,,,,14.3,,0.0,,4.7,,,,
1992-06,14.1,,,16.8,,0.0,,4.8,,,,
1992-07,,,,19.3,,0.0,,5.2,,,,
1992-08,,,,17.6,,0.0,,5.8,,,,
1992-09,14.6,,,17.6,,0.0,,7.5,,,,
1992-10,,,,18.5,,0.0,,7.9,,,,
1992-11,,,,21.8,,0.0,,8.2,,,,
1992-12,14.6,,,26.9,,0.0,,8.8,,,,
1993-01,,,,8.4,,,,10.3,,,,
1993-02,,,,27.7,,0.0,,10.5,,,,
1993-03,15.3,,,21.8,,0.0,88.92050234905031,12.2,,,,
1993-04,,,,21.0,,0.0,66.2279260581789,12.6,,,,
1993-05,,,,22.7,,0.0,87.13160021281428,14.0,,,,
1993-06,13.5,,,25.2,,0.0,82.22976105610489,15.1,,,,
1993-07,,,,21.0,,0.0,58.79317813829226,16.2,,,,
1993-08,,,,19.3,,0.0,31.481764120899832,16.0,,,,
1993-09,13.0,,,16.0,,0.0,39.27666588302253,15.7,,,,
1993-10,,,,13.4,,0.0,63.758506646150984,15.9,,,,
1993-11,,,,16.0,,0.0,59.4282097553798,16.7,,,,
1993-12,14.2,,,25.2,,0.0,948.1416584928933,18.8,,,,
1994-01,,,,27.7,,,,21.1,,,,
1994-02,,,,3.4,,0.0,-100.33346678458165,23.2,,,,
1994-03,14.2,,,16.0,,0.0,33.97878849493777,22.4,,,,
1994-04,,,,16.8,,0.0,54.762552104076384,21.7,,,,
1994-05,,,,17.6,,0.0,37.19680592163014,21.3,,,,
1994-06,13.4,,,15.1,,0.0,55.992050739944276,22.6,,,,
1994-07,,,,15.1,,0.0,64.33691121423053,24.0,,,,
1994-08,,,,29.4,,0.0,1.2452604061832773,25.8,,,,
1994-09,13.1,,,21.8,,0.0,28.90929490489316,27.3,,,,
1994-10,,,,24.4,,0.0,30.681927576931038,27.7,,,,
1994-11,,,,23.5,,0.0,28.124723406158463,27.5,,,,
1994-12,12.1,,,18.5,,0.0,784.2173232487004,25.5,,,,
1995-01,,,,11.4,,34.3,,24.1,,,,
1995-02,,,,15.5,,28.3,48.76253712717372,22.4,,,,
1995-03,12.0,,,16.4,,31.3,29.476434588686338,21.3,,,,
1995-04,,,,15.4,,32.3,32.508536611556856,20.7,,,,
1995-05,,,,13.1,,30.6,8.774793951547608,20.3,,,,
1995-06,11.0,,,13.9,,28.0,-8.513061993406673,18.2,,,,
1995-07,,,,13.6,,29.7,29.6019264370303,16.7,,,,
1995-08,,,,11.8,,27.3,26.592781895300526,14.5,,,,
1995-09,10.5,,,11.4,,25.8,10.975455339012072,13.2,,,,
1995-10,,,,12.9,,25.9,39.091857535512005,12.1,,,,
1995-11,,,,12.1,,24.5,25.058598656059733,11.2,,,,
1995-12,10.8,,,14.9,,23.7,-18.29930136539539,10.1,,,,
1996-01,,,,16.9,,19.1,,9.0,,,,
1996-02,,,,12.2,,28.1,-3.279362831654301,9.3,,,,
1996-03,11.0,,,12.2,,21.3,-18.059714960478868,9.8,,,,
1996-04,,,,13.7,,18.6,5.944593721263358,9.7,,,,
1996-05,,,,13.1,,19.3,-7.997245077641367,8.9,,,,
1996-06,9.4,,,13.8,,19.5,-2.4840149270446403,8.6,,,,
1996-07,,,,12.2,,16.1,44.81205300599165,8.3,,,,
