variable,source_group,use_for_pca_init,coverage_rate,n_obs,n_obs_with_gdp,corr_with_gdp_quarter_end,cross_family_high_corr_dropped,cross_family_high_corr_kept_against,cross_family_high_corr_abs,rule_note
制造业PMI,中国:制造业PMI,True,1.0,120,48,0.47666848502924547,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
制造业PMI一阶差分,中国:制造业PMI,False,1.0,120,48,0.35773470679785896,False,,,同一变量族无去季节性候选，制造业PMI 与 GDP 相关性更高，不用于 PCA 初始化
服务业PMI,中国:非制造业PMI:服务业,True,1.0,120,48,0.43413635440461257,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
服务业PMI一阶差分,中国:非制造业PMI:服务业,False,1.0,120,48,0.3057143467950991,False,,,同一变量族无去季节性候选，服务业PMI 与 GDP 相关性更高，不用于 PCA 初始化
工业增加值,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),True,1.0,120,48,0.764708886118217,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
用电量,中国:全社会用电量:当月同比,True,0.95,114,48,0.2375742017790429,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
社零,中国:社会消费品零售总额:当月同比(1-2月合并),True,0.9333333333333333,112,48,0.8543350815921579,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
固投累计同比,中国:固定资产投资完成额,False,0.9333333333333333,112,48,0.6981425165677424,False,,,同一变量族优先保留去季节性变量 固投当月同比_去季节性，原变量不用于 PCA 初始化
固投当月同比_去季节性,中国:固定资产投资完成额,True,0.9333333333333333,112,48,0.27214099988598933,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
CPI,中国:CPI:当月同比,True,1.0,120,48,-0.08516378481032683,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
PPI,中国:PPI:当月同比,True,1.0,120,48,0.026031713451975472,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
失业率差分_去季节性,中国:城镇调查失业率,True,0.5916666666666667,71,32,0.044654311125638085,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
逆回购7天(19日),中国:逆回购利率:7天:当月19日值,True,1.0,120,48,0.5665519336185882,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
银行间7天回购(20-19均值),中国:银行间质押式回购加权利率:7天:上月20日至当月19日均值,True,1.0,120,48,0.6687228188999079,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
