variable,source_group,use_for_pca_init,coverage_rate,n_obs,n_obs_with_gdp,corr_with_gdp_quarter_end,cross_family_high_corr_dropped,cross_family_high_corr_kept_against,cross_family_high_corr_abs,rule_note
制造业PMI_去季节性,中国:制造业PMI,True,1.0,120,40,0.7320343367408381,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
制造业PMI一阶差分_去季节性,中国:制造业PMI,False,1.0,120,40,0.22602317383351173,False,,,同一变量族内存在去季节性保留变量 制造业PMI_去季节性，且该变量与 GDP 相关性更高，不用于 PCA 初始化
服务业PMI,中国:非制造业PMI:服务业,True,0.6916666666666667,83,28,0.45693396549273424,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
服务业PMI一阶差分,中国:非制造业PMI:服务业,False,0.6833333333333333,82,28,0.04720781378728205,False,,,同一变量族无去季节性候选，服务业PMI 与 GDP 相关性更高，不用于 PCA 初始化
工业增加值,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),True,1.0,120,40,0.9584322746562209,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
用电量,中国:全社会用电量:当月同比,True,0.8333333333333334,100,33,0.7360659931101978,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
社零,中国:社会消费品零售总额:当月同比(1-2月合并),True,0.95,114,40,0.8546318875328395,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
固投累计同比,中国:固定资产投资完成额,False,0.9166666666666666,110,40,0.760090415261662,False,,,同一变量族优先保留去季节性变量 固投当月同比_去季节性，原变量不用于 PCA 初始化
固投当月同比_去季节性,中国:固定资产投资完成额,True,0.9083333333333333,109,40,-0.017598328342793193,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
CPI,中国:CPI:当月同比,True,1.0,120,40,0.36474797607647436,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
PPI,中国:PPI:当月同比,True,1.0,120,40,0.3136287740176865,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
逆回购7天(19日),中国:逆回购利率:7天:当月19日值,True,1.0,120,40,0.5599907459212867,False,,,同一变量族无去季节性候选，保留与 GDP 相关性更高的变量
银行间7天回购(20-19均值)_去季节性,中国:银行间质押式回购加权利率:7天:上月20日至当月19日均值,True,1.0,120,40,-0.2103316694652265,False,,,同一变量族优先保留去季节性变量；多个去季节性变量中保留与 GDP 相关性更高的变量
