variable,train_start,train_end,n_months,first_obs_in_window,last_obs_in_window,n_obs_in_window,missing_rate_in_window,coverage_rate_in_window,coverage_status,keep_for_training_window
GDP同比,2009-01,2018-12,120,2009-03,2018-12,40,0.6666666666666666,0.3333333333333333,后半段或少量参与,True
制造业PMI,2009-01,2018-12,120,2009-01,2018-12,120,0.0,1.0,基本完整参与,True
制造业PMI一阶差分,2009-01,2018-12,120,2009-01,2018-12,120,0.0,1.0,基本完整参与,True
服务业PMI,2009-01,2018-12,120,2012-02,2018-12,83,0.30833333333333335,0.6916666666666667,部分参与,True
服务业PMI一阶差分,2009-01,2018-12,120,2012-03,2018-12,82,0.31666666666666665,0.6833333333333333,部分参与,True
工业增加值,2009-01,2018-12,120,2009-01,2018-12,120,0.0,1.0,基本完整参与,True
用电量,2009-01,2018-12,120,2009-07,2018-12,100,0.16666666666666666,0.8333333333333334,部分参与,True
社零,2009-01,2018-12,120,2009-01,2018-12,114,0.05,0.95,基本完整参与,True
固投累计同比,2009-01,2018-12,120,2009-02,2018-12,110,0.08333333333333333,0.9166666666666666,基本完整参与,True
固投当月同比,2009-01,2018-12,120,2009-02,2018-12,109,0.09166666666666666,0.9083333333333333,基本完整参与,True
CPI,2009-01,2018-12,120,2009-01,2018-12,120,0.0,1.0,基本完整参与,True
PPI,2009-01,2018-12,120,2009-01,2018-12,120,0.0,1.0,基本完整参与,True
失业率差分,2009-01,2018-12,120,2018-02,2018-12,11,0.9083333333333333,0.09166666666666666,后半段或少量参与,False
逆回购7天(19日),2009-01,2018-12,120,2009-01,2018-12,120,0.0,1.0,基本完整参与,True
银行间7天回购(20-19均值),2009-01,2018-12,120,2009-01,2018-12,120,0.0,1.0,基本完整参与,True
